fecha;Linea;Cantidad
1/03/2022;DEPORTIVO;984
1/03/2022;MARROQUINERIA;3740
1/03/2022;PANTALON;44032
1/03/2022;PANTALONES DE MODA;1607
1/03/2022;ROPA INTERIOR;854
1/03/2022;SOBRETODO;9043
1/03/2022;PRODUCTOS DE MODA;2609
1/04/2022;ACCESORIOS;5632
1/04/2022;BLUSA;18275
1/04/2022;CALZADO;392
1/04/2022;CAMISETA;38645
1/04/2022;CORTOS;8359
1/04/2022;DEPORTIVO;880
1/04/2022;MARROQUINERIA;3846
1/04/2022;PANTALON;39350
1/04/2022;PANTALONES DE MODA;1023
1/04/2022;ROPA INTERIOR;1610
1/04/2022;SOBRETODO;7233
1/04/2022;PRODUCTOS DE MODA;1798
1/05/2022;ACCESORIOS;6022
1/05/2022;BLUSA;19242
1/05/2022;CALZADO;467
1/05/2022;CAMISETA;48037
1/05/2022;CORTOS;8323
1/05/2022;DEPORTIVO;585
1/05/2022;MARROQUINERIA;5871
1/05/2022;PANTALON;49276
1/05/2022;PANTALONES DE MODA;943
1/05/2022;ROPA INTERIOR;2256
1/05/2022;SOBRETODO;8695
1/05/2022;PRODUCTOS DE MODA;2555
1/06/2022;ACCESORIOS;5613
1/06/2022;BLUSA;16875
1/06/2022;CALZADO;278
1/06/2022;CAMISETA;48377
1/06/2022;CORTOS;8535
1/06/2022;DEPORTIVO;581
1/06/2022;MARROQUINERIA;4715
1/06/2022;PANTALON;48248
1/06/2022;PANTALONES DE MODA;1416
1/06/2022;ROPA INTERIOR;1702
1/06/2022;SOBRETODO;9804
1/06/2022;PRODUCTOS DE MODA;3770
1/07/2022;ACCESORIOS;5637
1/07/2022;BLUSA;16336
1/07/2022;CALZADO;150
1/07/2022;CAMISETA;54514
1/07/2022;CORTOS;10408
1/07/2022;DEPORTIVO;470
1/07/2022;MARROQUINERIA;4898
1/07/2022;PANTALON;52299
1/07/2022;PANTALONES DE MODA;1150
1/07/2022;ROPA INTERIOR;1647
1/07/2022;SOBRETODO;8228
1/07/2022;PRODUCTOS DE MODA;2148
1/08/2022;ACCESORIOS;5304
1/08/2022;BLUSA;16739
1/08/2022;CALZADO;77
1/08/2022;CAMISETA;49860
1/08/2022;CORTOS;6434
1/08/2022;DEPORTIVO;148
1/08/2022;MARROQUINERIA;3410
1/08/2022;PANTALON;44397
1/08/2022;PANTALONES DE MODA;608
1/08/2022;ROPA INTERIOR;1213
1/08/2022;SOBRETODO;6198
1/08/2022;PRODUCTOS DE MODA;1174
1/09/2022;ACCESORIOS;5453
1/09/2022;BLUSA;20510
1/09/2022;CALZADO;66
1/09/2022;CAMISETA;50163
1/09/2022;CORTOS;6668
1/09/2022;DEPORTIVO;188
1/09/2022;MARROQUINERIA;5747
1/09/2022;PANTALON;46938
1/09/2022;PANTALONES DE MODA;474
1/09/2022;ROPA INTERIOR;1217
1/09/2022;SOBRETODO;7537
1/09/2022;PRODUCTOS DE MODA;991
1/10/2022;ACCESORIOS;5292
1/10/2022;BLUSA;19921
1/10/2022;CALZADO;44
1/10/2022;CAMISETA;40593
1/10/2022;CORTOS;6565
1/10/2022;DEPORTIVO;172
1/10/2022;MARROQUINERIA;4916
1/10/2022;PANTALON;48722
1/10/2022;PANTALONES DE MODA;327
1/10/2022;ROPA INTERIOR;1340
1/10/2022;SOBRETODO;7648
1/10/2022;PRODUCTOS DE MODA;707
1/11/2022;ACCESORIOS;5898
1/11/2022;BLUSA;32069
1/11/2022;CALZADO;64
1/11/2022;CAMISETA;61640
1/11/2022;CORTOS;10423
1/11/2022;DEPORTIVO;173
1/11/2022;MARROQUINERIA;6004
1/11/2022;PANTALON;92788
1/11/2022;PANTALONES DE MODA;685
1/11/2022;ROPA INTERIOR;1512
1/11/2022;SOBRETODO;11972
1/11/2022;PRODUCTOS DE MODA;783
1/12/2022;ACCESORIOS;10614
1/12/2022;BLUSA;74026
1/12/2022;CALZADO;17
1/12/2022;CAMISETA;134145
1/12/2022;CORTOS;18596
1/12/2022;DEPORTIVO;57
1/12/2022;MARROQUINERIA;10562
1/12/2022;PANTALON;190756
1/12/2022;PANTALONES DE MODA;1707
1/12/2022;ROPA INTERIOR;4360
1/12/2022;SOBRETODO;22694
1/12/2022;PRODUCTOS DE MODA;512
1/01/2023;ACCESORIOS;4096
1/01/2023;BLUSA;19027
1/01/2023;CALZADO;7
1/01/2023;CAMISETA;37240
1/01/2023;CORTOS;4632
1/01/2023;DEPORTIVO;9
1/01/2023;MARROQUINERIA;3853
1/01/2023;PANTALON;55745
1/01/2023;PANTALONES DE MODA;1657
1/01/2023;PRODUCTOS DE MODA;465
1/01/2023;ROPA INTERIOR;2057
1/01/2023;SOBRETODO;8466
1/02/2023;ACCESORIOS;3481
1/02/2023;BLUSA;15574
1/02/2023;CALZADO;4
1/02/2023;CAMISETA;31331
1/02/2023;CORTOS;3672
1/02/2023;DEPORTIVO;2
1/02/2023;MARROQUINERIA;3453
1/02/2023;PANTALON;33044
1/02/2023;PANTALONES DE MODA;1753
1/02/2023;PRODUCTOS DE MODA;1214
1/02/2023;ROPA INTERIOR;1561
1/02/2023;SOBRETODO;5068
1/02/2023;PRODUCTOS DE MODA;34
1/03/2023;ACCESORIOS;4992
1/03/2023;BLUSA;18428
1/03/2023;CALZADO;1
1/03/2023;CAMISETA;34023
1/03/2023;CORTOS;4309
1/03/2023;DEPORTIVO;1
1/03/2023;MARROQUINERIA;3994
1/03/2023;PANTALON;40760
1/03/2023;PANTALONES DE MODA;1414
1/03/2023;ROPA INTERIOR;2057
1/03/2023;SOBRETODO;7443
1/03/2023;PRODUCTOS DE MODA;631
1/04/2023;ACCESORIOS;4603
1/04/2023;BLUSA;18636
1/04/2023;CALZADO;2
1/04/2023;CAMISETA;33844
1/04/2023;CORTOS;5859
1/04/2023;MARROQUINERIA;4951
1/04/2023;PANTALON;34005
1/04/2023;PANTALONES DE MODA;1260
1/04/2023;ROPA INTERIOR;1571
1/04/2023;SOBRETODO;5297
1/04/2023;PRODUCTOS DE MODA;1038
1/05/2023;ACCESORIOS;5434
1/05/2023;BLUSA;26064
1/05/2023;CALZADO;2
1/05/2023;CAMISETA;51071
1/05/2023;CORTOS;8131
1/05/2023;MARROQUINERIA;6952
1/05/2023;PANTALON;78149
1/05/2023;PANTALONES DE MODA;3346
1/05/2023;ROPA INTERIOR;2084
1/05/2023;SOBRETODO;8894
1/05/2023;PRODUCTOS DE MODA;2013
1/06/2023;ACCESORIOS;5200
1/06/2023;BLUSA;24746
1/06/2023;CAMISETA;50182
1/06/2023;CORTOS;9387
1/06/2023;DEPORTIVO;1
1/06/2023;MARROQUINERIA;5884
1/06/2023;PANTALON;54574
1/06/2023;PANTALONES DE MODA;3635
1/06/2023;ROPA INTERIOR;2185
1/06/2023;SOBRETODO;8692
1/06/2023;PRODUCTOS DE MODA;1162
1/07/2023;ACCESORIOS;5508
1/07/2023;BLUSA;26196
1/07/2023;CAMISETA;59355
1/07/2023;CORTOS;10877
1/07/2023;DEPORTIVO;1
1/07/2023;MARROQUINERIA;6385
1/07/2023;PANTALON;61596
1/07/2023;PANTALONES DE MODA;3692
1/07/2023;ROPA INTERIOR;2867
1/07/2023;SOBRETODO;9711
1/07/2023;PRODUCTOS DE MODA;1084
1/08/2023;ACCESORIOS;4413
1/08/2023;BLUSA;18820
1/08/2023;CAMISETA;43076
1/08/2023;CORTOS;7676
1/08/2023;MARROQUINERIA;3736
1/08/2023;PANTALON;44518
1/08/2023;PANTALONES DE MODA;1726
1/08/2023;ROPA INTERIOR;1541
1/08/2023;SOBRETODO;6263
1/08/2023;PRODUCTOS DE MODA;740
1/09/2023;ACCESORIOS;5490
1/09/2023;BLUSA;20893
1/09/2023;CAMISETA;56183
1/09/2023;CORTOS;9021
1/09/2023;MARROQUINERIA;3983
1/09/2023;PANTALON;45752
1/09/2023;PANTALONES DE MODA;1400
1/09/2023;ROPA INTERIOR;1853
1/09/2023;SOBRETODO;7271
1/09/2023;PRODUCTOS DE MODA;1230
1/10/2023;ACCESORIOS;5276
1/10/2023;BLUSA;22385
1/10/2023;CALZADO;1
1/10/2023;CAMISETA;52763
1/10/2023;CORTOS;9893
