fecha,Linea,Cantidad_Pronosticada,Limite_Inferior,Limite_Superior,Modelo,MAPE_Backtest,Ajuste_Venta_Perdida_Pct,Venta_Perdida_Estimada,Gap_Regional_Sismo,Factor_Sismo
2026-12-01,CALZADO,11180,10535,11826,TopDown HW add-add,0.3466,0.09,1023,0.0552,0.9833
2026-12-01,CAMISETA,140820,132685,148955,TopDown HW add-add,0.1143,0.09,12857,0.0552,0.9858
2026-12-01,COMPLEMENTOS,658,620,696,TopDown HW add-add,0.5517,0.09,60,0.0552,0.9872
2026-12-01,CORTOS,59537,56099,62977,TopDown HW add-add,0.098,0.09,5429,0.0552,0.987
2026-12-01,DEPORTIVOS,481,453,508,TopDown HW add-add,1.9623,0.09,43,0.0552,1.0
2026-12-01,JEANS,90337,85118,95555,TopDown HW add-add,0.1166,0.09,8241,0.0552,0.9866
2026-12-01,PANTALONES,41130,38754,43506,TopDown HW add-add,0.306,0.09,3760,0.0552,0.9845
2026-12-01,PRENDAS DE MODA,22802,21485,24119,TopDown HW add-add,0.4538,0.09,2083,0.0552,0.9851
2026-12-01,ROPA INTERIOR,11548,10882,12216,TopDown HW add-add,0.2416,0.09,1056,0.0552,0.9841
2026-12-01,SOBRETODOS,20568,19380,21757,TopDown HW add-add,0.1745,0.09,1883,0.0552,0.9832
2026-12-01,TEJIDO,1412,1330,1493,TopDown HW add-add,1.5638,0.09,129,0.0552,0.983
2026-12-01,TOP-BODY,68906,64925,72886,TopDown HW add-add,0.1107,0.09,6298,0.0552,0.9847
2027-01-01,ACCESORIOS,4060,3777,4342,TopDown HW add-add,0.2243,0.04,164,0.0414,0.9891
2027-01-01,BEAUTY,9922,9232,10612,TopDown HW add-add,0.4339,0.04,401,0.0414,0.9886
2027-01-01,BLUSA-CAMISA,2460,2290,2631,TopDown HW add-add,0.4173,0.04,99,0.0414,0.9907
2027-01-01,CALZADO,954,888,1020,TopDown HW add-add,0.3466,0.04,39,0.0414,0.9875
2027-01-01,CAMISETA,19458,18106,20811,TopDown HW add-add,0.1143,0.04,787,0.0414,0.9893
2027-01-01,COMPLEMENTOS,365,340,390,TopDown HW add-add,0.5517,0.04,15,0.0414,0.9904
2027-01-01,CORTOS,7661,7128,8192,TopDown HW add-add,0.098,0.04,309,0.0414,0.9902
2027-01-01,DEPORTIVOS,379,352,405,TopDown HW add-add,1.9623,0.04,15,0.0414,1.0
2027-01-01,JEANS,10021,9324,10718,TopDown HW add-add,0.1166,0.04,405,0.0414,0.9899
2027-01-01,PANTALONES,5738,5338,6136,TopDown HW add-add,0.306,0.04,232,0.0414,0.9884
2027-01-01,PRENDAS DE MODA,3015,2805,3225,TopDown HW add-add,0.4538,0.04,122,0.0414,0.9888
2027-01-01,ROPA INTERIOR,2230,2075,2385,TopDown HW add-add,0.2416,0.04,90,0.0414,0.9881
2027-01-01,SOBRETODOS,3956,3680,4230,TopDown HW add-add,0.1745,0.04,160,0.0414,0.9874
2027-01-01,TEJIDO,185,172,197,TopDown HW add-add,1.5638,0.04,7,0.0414,0.9873
2027-01-01,TOP-BODY,9699,9025,10373,TopDown HW add-add,0.1107,0.04,392,0.0414,0.9886
2027-02-01,ACCESORIOS,4412,4114,4709,TopDown HW add-add,0.2243,0.0409,182,0.0414,0.9891
2027-02-01,BEAUTY,11726,10935,12516,TopDown HW add-add,0.4339,0.0409,485,0.0414,0.9886
2027-02-01,BLUSA-CAMISA,2650,2471,2828,TopDown HW add-add,0.4173,0.0409,109,0.0414,0.9907
2027-02-01,CALZADO,1063,991,1136,TopDown HW add-add,0.3466,0.0409,44,0.0414,0.9875
2027-02-01,CAMISETA,21228,19797,22661,TopDown HW add-add,0.1143,0.0409,878,0.0414,0.9893
2027-02-01,COMPLEMENTOS,418,389,446,TopDown HW add-add,0.5517,0.0409,17,0.0414,0.9904
2027-02-01,CORTOS,7869,7339,8400,TopDown HW add-add,0.098,0.0409,325,0.0414,0.9902
2027-02-01,DEPORTIVOS,328,306,350,TopDown HW add-add,1.9623,0.0409,13,0.0414,1.0
2027-02-01,JEANS,11348,10582,12113,TopDown HW add-add,0.1166,0.0409,469,0.0414,0.9899
2027-02-01,PANTALONES,6340,5912,6767,TopDown HW add-add,0.306,0.0409,262,0.0414,0.9884
2027-02-01,PRENDAS DE MODA,3095,2886,3305,TopDown HW add-add,0.4538,0.0409,128,0.0414,0.9888
2027-02-01,ROPA INTERIOR,2571,2397,2744,TopDown HW add-add,0.2416,0.0409,106,0.0414,0.9881
2027-02-01,SOBRETODOS,5298,4940,5655,TopDown HW add-add,0.1745,0.0409,219,0.0414,0.9874
2027-02-01,TEJIDO,270,252,288,TopDown HW add-add,1.5638,0.0409,11,0.0414,0.9873
2027-02-01,TOP-BODY,10334,9637,11031,TopDown HW add-add,0.1107,0.0409,428,0.0414,0.9886
2027-03-01,ACCESORIOS,5743,5507,5979,TopDown HW add-add,0.2243,0.0436,253,0.0414,0.9891
2027-03-01,BEAUTY,14132,13551,14711,TopDown HW add-add,0.4339,0.0436,623,0.0414,0.9886
2027-03-01,BLUSA-CAMISA,3326,3190,3463,TopDown HW add-add,0.4173,0.0436,146,0.0414,0.9907
2027-03-01,CALZADO,2150,2061,2238,TopDown HW add-add,0.3466,0.0436,95,0.0414,0.9875
2027-03-01,CAMISETA,28597,27424,29769,TopDown HW add-add,0.1143,0.0436,1260,0.0414,0.9893
2027-03-01,COMPLEMENTOS,675,648,703,TopDown HW add-add,0.5517,0.0436,30,0.0414,0.9904
2027-03-01,CORTOS,10678,10240,11115,TopDown HW add-add,0.098,0.0436,470,0.0414,0.9902
2027-03-01,DEPORTIVOS,271,260,282,TopDown HW add-add,1.9623,0.0436,12,0.0414,1.0
2027-03-01,JEANS,16001,15345,16657,TopDown HW add-add,0.1166,0.0436,705,0.0414,0.9899
2027-03-01,PANTALONES,6940,6656,7225,TopDown HW add-add,0.306,0.0436,306,0.0414,0.9884
2027-03-01,PRENDAS DE MODA,3853,3695,4012,TopDown HW add-add,0.4538,0.0436,170,0.0414,0.9888
2027-03-01,ROPA INTERIOR,3326,3190,3462,TopDown HW add-add,0.2416,0.0436,147,0.0414,0.9881
2027-03-01,SOBRETODOS,5211,4997,5425,TopDown HW add-add,0.1745,0.0436,230,0.0414,0.9874
2027-03-01,TEJIDO,314,301,327,TopDown HW add-add,1.5638,0.0436,14,0.0414,0.9873
2027-03-01,TOP-BODY,12211,11710,12712,TopDown HW add-add,0.1107,0.0436,539,0.0414,0.9886
2027-04-01,ACCESORIOS,5474,5236,5711,TopDown HW add-add,0.2243,0.0437,242,0.0414,0.9891
2027-04-01,BEAUTY,12974,12412,13537,TopDown HW add-add,0.4339,0.0437,574,0.0414,0.9886
2027-04-01,BLUSA-CAMISA,3490,3339,3642,TopDown HW add-add,0.4173,0.0437,154,0.0414,0.9907
2027-04-01,CALZADO,1993,1907,2080,TopDown HW add-add,0.3466,0.0437,88,0.0414,0.9875
2027-04-01,CAMISETA,30931,29590,32271,TopDown HW add-add,0.1143,0.0437,1366,0.0414,0.9893
2027-04-01,COMPLEMENTOS,353,338,368,TopDown HW add-add,0.5517,0.0437,16,0.0414,0.9904
2027-04-01,CORTOS,10391,9940,10840,TopDown HW add-add,0.098,0.0437,459,0.0414,0.9902
2027-04-01,DEPORTIVOS,193,185,202,TopDown HW add-add,1.9623,0.0437,8,0.0414,1.0
2027-04-01,JEANS,16622,15901,17342,TopDown HW add-add,0.1166,0.0437,734,0.0414,0.9899
2027-04-01,PANTALONES,8101,7750,8453,TopDown HW add-add,0.306,0.0437,358,0.0414,0.9884
2027-04-01,PRENDAS DE MODA,4264,4080,4449,TopDown HW add-add,0.4538,0.0437,188,0.0414,0.9888
2027-04-01,ROPA INTERIOR,3311,3168,3455,TopDown HW add-add,0.2416,0.0437,146,0.0414,0.9881
2027-04-01,SOBRETODOS,4975,4759,5191,TopDown HW add-add,0.1745,0.0437,220,0.0414,0.9874
2027-04-01,TEJIDO,591,566,617,TopDown HW add-add,1.5638,0.0437,26,0.0414,0.9873
2027-04-01,TOP-BODY,11045,10567,11524,TopDown HW add-add,0.1107,0.0437,488,0.0414,0.9886
2027-05-01,ACCESORIOS,5694,5360,6030,TopDown HW add-add,0.2243,0.0449,258,0.0414,0.9891
2027-05-01,BEAUTY,14514,13660,15368,TopDown HW add-add,0.4339,0.0449,659,0.0414,0.9886
2027-05-01,BLUSA-CAMISA,4802,4520,5084,TopDown HW add-add,0.4173,0.0449,218,0.0414,0.9907
2027-05-01,CALZADO,2089,1966,2212,TopDown HW add-add,0.3466,0.0449,95,0.0414,0.9875
2027-05-01,CAMISETA,33336,31375,35298,TopDown HW add-add,0.1143,0.0449,1513,0.0414,0.9893
2027-05-01,COMPLEMENTOS,240,225,254,TopDown HW add-add,0.5517,0.0449,11,0.0414,0.9904
2027-05-01,CORTOS,10832,10196,11470,TopDown HW add-add,0.098,0.0449,491,0.0414,0.9902
2027-05-01,DEPORTIVOS,182,171,193,TopDown HW add-add,1.9623,0.0449,8,0.0414,1.0
2027-05-01,JEANS,18135,17068,19203,TopDown HW add-add,0.1166,0.0449,823,0.0414,0.9899
2027-05-01,PANTALONES,9594,9030,10159,TopDown HW add-add,0.306,0.0449,436,0.0414,0.9884
2027-05-01,PRENDAS DE MODA,4648,4376,4922,TopDown HW add-add,0.4538,0.0449,211,0.0414,0.9888
2027-05-01,ROPA INTERIOR,3679,3462,3895,TopDown HW add-add,0.2416,0.0449,167,0.0414,0.9881
2027-05-01,SOBRETODOS,5398,5080,5715,TopDown HW add-add,0.1745,0.0449,245,0.0414,0.9874
2027-05-01,TEJIDO,589,555,624,TopDown HW add-add,1.5638,0.0449,27,0.0414,0.9873
2027-05-01,TOP-BODY,12557,11817,13295,TopDown HW add-add,0.1107,0.0449,570,0.0414,0.9886
2027-06-01,ACCESORIOS,6304,6027,6582,TopDown HW add-add,0.2243,0.0494,315,0.0414,0.9891
2027-06-01,BEAUTY,16380,15659,17101,TopDown HW add-add,0.4339,0.0494,819,0.0414,0.9886
2027-06-01,BLUSA-CAMISA,7026,6717,7336,TopDown HW add-add,0.4173,0.0494,350,0.0414,0.9907
2027-06-01,CALZADO,2925,2796,3053,TopDown HW add-add,0.3466,0.0494,146,0.0414,0.9875
2027-06-01,CAMISETA,41199,39386,43013,TopDown HW add-add,0.1143,0.0494,2057,0.0414,0.9893
2027-06-01,COMPLEMENTOS,263,252,274,TopDown HW add-add,0.5517,0.0494,13,0.0414,0.9904
2027-06-01,CORTOS,17091,16338,17843,TopDown HW add-add,0.098,0.0494,853,0.0414,0.9902
2027-06-01,DEPORTIVOS,222,212,231,TopDown HW add-add,1.9623,0.0494,11,0.0414,1.0
2027-06-01,JEANS,27467,26259,28677,TopDown HW add-add,0.1166,0.0494,1371,0.0414,0.9899
2027-06-01,PANTALONES,12869,12302,13435,TopDown HW add-add,0.306,0.0494,643,0.0414,0.9884
2027-06-01,PRENDAS DE MODA,5931,5670,6192,TopDown HW add-add,0.4538,0.0494,296,0.0414,0.9888
2027-06-01,ROPA INTERIOR,3977,3802,4152,TopDown HW add-add,0.2416,0.0494,199,0.0414,0.9881
2027-06-01,SOBRETODOS,6014,5750,6279,TopDown HW add-add,0.1745,0.0494,301,0.0414,0.9874
2027-06-01,TEJIDO,715,684,746,TopDown HW add-add,1.5638,0.0494,36,0.0414,0.9873
2027-06-01,TOP-BODY,19165,18321,20008,TopDown HW add-add,0.1107,0.0494,958,0.0414,0.9886
2027-07-01,ACCESORIOS,5900,5616,6184,TopDown HW add-add,0.2243,0.0494,295,0.0414,0.9891
2027-07-01,BEAUTY,17216,16389,18045,TopDown HW add-add,0.4339,0.0494,860,0.0414,0.9886
2027-07-01,BLUSA-CAMISA,6113,5818,6407,TopDown HW add-add,0.4173,0.0494,305,0.0414,0.9907
2027-07-01,CALZADO,2664,2536,2793,TopDown HW add-add,0.3466,0.0494,133,0.0414,0.9875
2027-07-01,CAMISETA,41818,39808,43828,TopDown HW add-add,0.1143,0.0494,2088,0.0414,0.9893
2027-07-01,COMPLEMENTOS,373,355,391,TopDown HW add-add,0.5517,0.0494,19,0.0414,0.9904
2027-07-01,CORTOS,17876,17016,18735,TopDown HW add-add,0.098,0.0494,892,0.0414,0.9902
2027-07-01,DEPORTIVOS,279,266,293,TopDown HW add-add,1.9623,0.0494,14,0.0414,1.0
2027-07-01,JEANS,26210,24951,27470,TopDown HW add-add,0.1166,0.0494,1308,0.0414,0.9899
2027-07-01,PANTALONES,12389,11793,12984,TopDown HW add-add,0.306,0.0494,619,0.0414,0.9884
2027-07-01,PRENDAS DE MODA,5361,5103,5618,TopDown HW add-add,0.4538,0.0494,268,0.0414,0.9888
2027-07-01,ROPA INTERIOR,3854,3670,4040,TopDown HW add-add,0.2416,0.0494,193,0.0414,0.9881
2027-07-01,SOBRETODOS,5979,5692,6266,TopDown HW add-add,0.1745,0.0494,299,0.0414,0.9874
2027-07-01,TEJIDO,1274,1212,1335,TopDown HW add-add,1.5638,0.0494,64,0.0414,0.9873
2027-07-01,TOP-BODY,20573,19584,21562,TopDown HW add-add,0.1107,0.0494,1028,0.0414,0.9886
2027-08-01,ACCESORIOS,5649,5330,5967,TopDown HW add-add,0.2243,0.046,263,0.0414,0.9891
2027-08-01,BEAUTY,14508,13691,15327,TopDown HW add-add,0.4339,0.046,675,0.0414,0.9886
2027-08-01,BLUSA-CAMISA,5013,4730,5295,TopDown HW add-add,0.4173,0.046,233,0.0414,0.9907
