fecha;Linea;Cantidad
01/01/2022;DEPORTIVO;1879
01/01/2022;PANTALONES DE MODA;2590
01/01/2022;ACCESORIOS;3523
01/01/2022;PRODUCTOS DE MODA;1677
01/01/2022;ROPA INTERIOR;2678
01/01/2022;MARROQUINERIA;2118
01/02/2022;PANTALON;10513
01/02/2022;CAMISETA;17744
01/02/2022;BLUSA;3714
01/02/2022;CORTOS;5585
01/02/2022;SOBRETODO;4742
01/02/2022;CALZADO;1914
01/02/2022;DEPORTIVO;2867
01/02/2022;PANTALONES DE MODA;3277
01/02/2022;ACCESORIOS;4404
01/02/2022;PRODUCTOS DE MODA;1654
01/02/2022;ROPA INTERIOR;2670
01/02/2022;MARROQUINERIA;2948
01/03/2022;PANTALON;14683
01/03/2022;CAMISETA;26965
01/03/2022;BLUSA;3978
01/03/2022;CORTOS;7942
01/03/2022;SOBRETODO;6070
01/03/2022;CALZADO;2460
01/03/2022;DEPORTIVO;3851
01/03/2022;PANTALONES DE MODA;3032
01/03/2022;ACCESORIOS;5219
01/03/2022;PRODUCTOS DE MODA;2219
01/03/2022;ROPA INTERIOR;4331
01/03/2022;MARROQUINERIA;3097
01/04/2022;PANTALON;16593
01/04/2022;CAMISETA;29869
01/04/2022;BLUSA;3597
01/04/2022;CORTOS;9735
01/04/2022;SOBRETODO;5457
01/04/2022;CALZADO;3184
01/04/2022;DEPORTIVO;4998
01/04/2022;PANTALONES DE MODA;3988
01/04/2022;ACCESORIOS;5798
01/04/2022;PRODUCTOS DE MODA;2641
01/04/2022;ROPA INTERIOR;5888
01/04/2022;MARROQUINERIA;3645
01/05/2022;PANTALON;19145
01/05/2022;CAMISETA;32747
01/05/2022;BLUSA;4044
01/05/2022;CORTOS;9306
01/05/2022;SOBRETODO;6148
01/05/2022;CALZADO;3884
01/05/2022;DEPORTIVO;3658
01/05/2022;PANTALONES DE MODA;3016
01/05/2022;ACCESORIOS;7319
01/05/2022;PRODUCTOS DE MODA;2317
01/05/2022;ROPA INTERIOR;5426
01/05/2022;MARROQUINERIA;3612
01/06/2022;PANTALON;27232
01/06/2022;CAMISETA;44923
01/06/2022;BLUSA;5052
01/06/2022;CORTOS;12652
01/06/2022;SOBRETODO;8290
01/06/2022;CALZADO;4277
01/06/2022;DEPORTIVO;3646
01/06/2022;PANTALONES DE MODA;4770
01/06/2022;ACCESORIOS;7418
01/06/2022;PRODUCTOS DE MODA;3843
01/06/2022;ROPA INTERIOR;6936
01/06/2022;MARROQUINERIA;4446
01/07/2022;PANTALON;24607
01/07/2022;CAMISETA;44430
01/07/2022;BLUSA;4602
01/07/2022;CORTOS;12629
01/07/2022;SOBRETODO;7881
01/07/2022;CALZADO;4235
01/07/2022;DEPORTIVO;3116
01/07/2022;PANTALONES DE MODA;5593
01/07/2022;ACCESORIOS;7309
01/07/2022;PRODUCTOS DE MODA;4789
01/07/2022;ROPA INTERIOR;6935
01/07/2022;MARROQUINERIA;4298
01/08/2022;PANTALON;22375
01/08/2022;CAMISETA;40764
01/08/2022;BLUSA;4190
01/08/2022;CORTOS;12133
01/08/2022;SOBRETODO;7044
01/08/2022;CALZADO;4836
01/08/2022;DEPORTIVO;3316
01/08/2022;PANTALONES DE MODA;6027
01/08/2022;ACCESORIOS;7377
01/08/2022;PRODUCTOS DE MODA;3211
01/08/2022;ROPA INTERIOR;6289
01/08/2022;MARROQUINERIA;3160
01/09/2022;PANTALON;19981
01/09/2022;CAMISETA;36910
01/09/2022;BLUSA;5463
01/09/2022;CORTOS;8705
01/09/2022;SOBRETODO;5729
01/09/2022;CALZADO;4486
01/09/2022;DEPORTIVO;2167
01/09/2022;PANTALONES DE MODA;5344
01/09/2022;ACCESORIOS;8222
01/09/2022;PRODUCTOS DE MODA;2944
01/09/2022;ROPA INTERIOR;6131
01/09/2022;MARROQUINERIA;3442
01/10/2022;PANTALON;25585
01/10/2022;CAMISETA;43580
01/10/2022;BLUSA;7495
01/10/2022;CORTOS;10878
